model,standard,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Granite 3.3 Instruct,HS-PS4-2,63,0.9206,0.8273,0.9656,0.9286,0.0,0.0594
Granite 3.3 Instruct,HS-PS4-3,60,0.9333,0.8407,0.9738,0.9667,0.0,0.0236
Granite 3.3 Instruct,HS-PS4-4,45,0.8222,0.6867,0.9071,0.9091,0.0,0.0831
Granite 3.3 Instruct,HS-PS4-5,69,0.8696,0.7703,0.9298,0.8889,0.0,0.0355
Llama 3.1 8b,HS-ESS1-1,48,0.5625,0.4228,0.693,0.65,0.0,0.0884
Llama 3.1 8b,HS-ESS1-2,66,0.8485,0.7431,0.9156,0.8444,0.0,0.0214
Llama 3.1 8b,HS-ESS1-3,48,0.3333,0.2168,0.4746,0.5333,0.0,0.1062
Llama 3.1 8b,HS-ESS1-4,48,0.5833,0.4428,0.7115,0.5758,0.0,0.1179
Llama 3.1 8b,HS-ESS1-5,30,0.8333,0.6644,0.9266,0.875,0.0,0.0471
Llama 3.1 8b,HS-ESS1-6,45,0.7111,0.5663,0.8227,0.7833,0.0,0.0314
Llama 3.1 8b,HS-ESS2-1,39,0.5385,0.3857,0.6843,0.6667,0.0,0.0628
Llama 3.1 8b,HS-ESS2-2,42,0.881,0.75,0.9481,0.9,0.0,0.0337
Llama 3.1 8b,HS-ESS2-3,48,0.5833,0.4428,0.7115,0.7,0.0,0.0295
Llama 3.1 8b,HS-ESS2-4,39,0.6923,0.5358,0.8143,0.8333,0.0,0.1088
Llama 3.1 8b,HS-ESS2-5,45,0.5556,0.4118,0.6906,0.6667,0.0,0.0629
Llama 3.1 8b,HS-ESS2-6,39,0.7692,0.6166,0.8735,0.8542,0.0,0.0628
Llama 3.1 8b,HS-ESS2-7,36,0.4444,0.2954,0.6042,0.7083,0.0,0.0786
Llama 3.1 8b,HS-ESS3-1,48,0.9583,0.8602,0.9885,0.9872,0.0,0.0295
Llama 3.1 8b,HS-ESS3-2,39,0.9487,0.8311,0.9858,0.9259,0.0,0.0363
Llama 3.1 8b,HS-ESS3-3,42,0.9048,0.7793,0.9623,0.9333,0.0,0.0337
Llama 3.1 8b,HS-ESS3-4,75,0.9067,0.8197,0.9541,0.9359,0.0,0.0499
Llama 3.1 8b,HS-ESS3-5,54,0.8333,0.7126,0.9098,0.8182,0.0,0.0
Llama 3.1 8b,HS-ESS3-6,36,0.8889,0.7469,0.9559,0.9167,0.0,0.0786
Llama 3.1 8b,HS-ETS1-1,87,0.954,0.8877,0.982,0.9561,0.0,0.0163
Llama 3.1 8b,HS-ETS1-2,81,0.9259,0.8477,0.9656,0.9167,0.0,0.0302
Llama 3.1 8b,HS-ETS1-3,66,0.8788,0.7786,0.9373,0.9375,0.0,0.0429
Llama 3.1 8b,HS-ETS1-4,57,0.8772,0.7675,0.9392,0.9103,0.0,0.0496
Llama 3.1 8b,HS-LS1-1,42,0.9048,0.7793,0.9623,0.9259,0.0,0.0891
Llama 3.1 8b,HS-LS1-2,36,0.8056,0.6497,0.9025,0.9167,0.0,0.0393
