model,area,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Granite 3.3 Instruct,HS-PS4,applied,102,0.8529,0.7715,0.9088,0.8922,0.0,0.024
Granite 3.3 Instruct,HS-PS4,conceptual,96,0.8438,0.7581,0.903,0.9167,0.0,0.0442
Granite 3.3 Instruct,HS-PS4,recall,96,0.9167,0.8441,0.9572,,0.0,0.039
Llama 3.1 8b,HS-ESS1,applied,96,0.5833,0.4834,0.6769,0.7188,0.0,0.039
Llama 3.1 8b,HS-ESS1,conceptual,96,0.5104,0.412,0.6081,0.7083,0.0,0.039
Llama 3.1 8b,HS-ESS1,recall,93,0.8495,0.763,0.9082,,0.0,0.0548
Llama 3.1 8b,HS-ESS2,applied,96,0.625,0.5251,0.7153,0.75,0.0,0.0765
Llama 3.1 8b,HS-ESS2,conceptual,99,0.6162,0.5177,0.7059,0.7727,0.0,0.0378
Llama 3.1 8b,HS-ESS2,recall,93,0.6774,0.577,0.7638,,0.0,0.0
Llama 3.1 8b,HS-ESS3,applied,102,0.9216,0.8528,0.9597,0.9363,0.0,0.0139
Llama 3.1 8b,HS-ESS3,conceptual,96,0.8646,0.782,0.9191,0.9062,0.0,0.0295
Llama 3.1 8b,HS-ESS3,recall,96,0.9271,0.8571,0.9642,,0.0,0.0147
Llama 3.1 8b,HS-ETS1,applied,102,0.8235,0.7382,0.8854,0.8873,0.0,0.0
Llama 3.1 8b,HS-ETS1,conceptual,96,0.9583,0.8977,0.9837,0.9792,0.0,0.039
Llama 3.1 8b,HS-ETS1,recall,93,0.9677,0.9094,0.989,,0.0,0.0456
Llama 3.1 8b,HS-LS1,applied,99,0.7273,0.6323,0.8053,0.8283,0.0,0.0247
Llama 3.1 8b,HS-LS1,conceptual,99,0.7374,0.643,0.814,0.8283,0.0,0.0515
Llama 3.1 8b,HS-LS1,recall,96,0.8542,0.77,0.9111,,0.0,0.0966
Llama 3.1 8b,HS-LS2,applied,84,0.8214,0.7261,0.8887,0.8631,0.0,0.0
Llama 3.1 8b,HS-LS2,conceptual,87,0.8276,0.7348,0.8926,0.8908,0.0,0.0282
Llama 3.1 8b,HS-LS2,recall,93,0.871,0.7879,0.9246,,0.0,0.0456
Llama 3.1 8b,HS-LS3,applied,93,0.6667,0.5659,0.7542,0.7688,0.0,0.0304
Llama 3.1 8b,HS-LS3,conceptual,93,0.6667,0.5659,0.7542,0.8172,0.0,0.0402
Llama 3.1 8b,HS-LS3,recall,96,0.8021,0.7114,0.8695,,0.0,0.0737
Llama 3.1 8b,HS-LS4,applied,96,0.8229,0.7346,0.8864,0.8594,0.0,0.0531
Llama 3.1 8b,HS-LS4,conceptual,96,0.8021,0.7114,0.8695,0.8802,0.0,0.0147
Llama 3.1 8b,HS-LS4,recall,93,0.7527,0.6562,0.8292,,0.0,0.0805
Llama 3.1 8b,HS-PS1,applied,99,0.6364,0.5382,0.7244,0.7323,0.0,0.0429
Llama 3.1 8b,HS-PS1,conceptual,99,0.6364,0.5382,0.7244,0.7677,0.0,0.0429
Llama 3.1 8b,HS-PS1,recall,99,0.7677,0.6754,0.8399,,0.0,0.0515
Llama 3.1 8b,HS-PS2,applied,102,0.8235,0.7382,0.8854,0.8775,0.0,0.024
Llama 3.1 8b,HS-PS2,conceptual,99,0.7576,0.6646,0.8313,0.8636,0.0,0.0247
Llama 3.1 8b,HS-PS2,recall,96,0.8229,0.7346,0.8864,,0.0,0.0147
Llama 3.1 8b,HS-PS3,applied,96,0.7604,0.6661,0.8347,0.8438,0.0,0.0966
Llama 3.1 8b,HS-PS3,conceptual,90,0.8111,0.7182,0.8786,0.8611,0.0,0.0416
Llama 3.1 8b,HS-PS3,recall,93,0.8387,0.7508,0.8997,,0.0,0.0456
Llama 3.1 8b,HS-PS4,applied,102,0.8039,0.7165,0.8693,0.8578,0.0,0.05
Llama 3.1 8b,HS-PS4,conceptual,96,0.75,0.6549,0.8259,0.8594,0.0,0.0442
Llama 3.1 8b,HS-PS4,recall,96,0.9479,0.8838,0.9776,,0.0,0.0147
Llama 3.3 70b,HS-ESS1,applied,96,0.875,0.7941,0.927,0.9115,0.0,0.051
Llama 3.3 70b,HS-ESS1,conceptual,96,0.8229,0.7346,0.8864,0.8906,0.0,0.0642
Llama 3.3 70b,HS-ESS1,recall,93,0.914,0.8393,0.9558,,0.0,0.0402
Llama 3.3 70b,HS-ESS2,applied,96,0.9062,0.8313,0.9499,0.9427,0.0,0.0255
Llama 3.3 70b,HS-ESS2,conceptual,99,0.8283,0.7421,0.8899,0.904,0.0,0.0143
Llama 3.3 70b,HS-ESS2,recall,93,0.9247,0.8527,0.9631,,0.0,0.0608
Llama 3.3 70b,HS-ESS3,applied,102,0.9608,0.9035,0.9846,0.9657,0.0,0.0367
Llama 3.3 70b,HS-ESS3,conceptual,96,0.9479,0.8838,0.9776,0.9688,0.0,0.0147
Llama 3.3 70b,HS-ESS3,recall,96,1.0,0.9615,1.0,,0.0,0.0
Llama 3.3 70b,HS-ETS1,applied,102,0.9608,0.9035,0.9846,0.9706,0.0,0.0139
Llama 3.3 70b,HS-ETS1,conceptual,96,0.9792,0.9272,0.9943,0.9896,0.0,0.0147
Llama 3.3 70b,HS-ETS1,recall,93,1.0,0.9603,1.0,,0.0,0.0
Llama 3.3 70b,HS-LS1,applied,99,0.9192,0.8486,0.9585,0.9495,0.0,0.0286
Llama 3.3 70b,HS-LS1,conceptual,99,0.8485,0.765,0.906,0.9192,0.0,0.0247
Llama 3.3 70b,HS-LS1,recall,96,0.9896,0.9433,0.9982,,0.0,0.0147
Llama 3.3 70b,HS-LS2,applied,84,0.8571,0.7667,0.9163,0.9048,0.0,0.0505
Llama 3.3 70b,HS-LS2,conceptual,87,0.954,0.8877,0.982,0.9713,0.0,0.043
Llama 3.3 70b,HS-LS2,recall,93,0.9355,0.8663,0.9701,,0.0,0.0263
Llama 3.3 70b,HS-LS3,applied,93,0.9247,0.8527,0.9631,0.9409,0.0,0.0402
Llama 3.3 70b,HS-LS3,conceptual,93,0.914,0.8393,0.9558,0.9462,0.0,0.0548
Llama 3.3 70b,HS-LS3,recall,96,0.9583,0.8977,0.9837,,0.0,0.0147
Llama 3.3 70b,HS-LS4,applied,96,0.9167,0.8441,0.9572,0.9427,0.0,0.0295
Llama 3.3 70b,HS-LS4,conceptual,96,0.9896,0.9433,0.9982,0.9948,0.0,0.0147
Llama 3.3 70b,HS-LS4,recall,93,0.8817,0.8005,0.9327,,0.0,0.0402
Llama 3.3 70b,HS-PS1,applied,99,0.9394,0.874,0.9719,0.9697,0.0,0.0
Llama 3.3 70b,HS-PS1,conceptual,99,0.9495,0.8872,0.9782,0.9747,0.0,0.0143
Llama 3.3 70b,HS-PS1,recall,99,0.9697,0.9147,0.9896,,0.0,0.0247
Llama 3.3 70b,HS-PS2,applied,102,0.951,0.8903,0.9789,0.9706,0.0,0.0277
Llama 3.3 70b,HS-PS2,conceptual,99,0.9697,0.9147,0.9896,0.9848,0.0,0.0247
Llama 3.3 70b,HS-PS2,recall,96,0.9792,0.9272,0.9943,,0.0,0.0147
Llama 3.3 70b,HS-PS3,applied,96,0.9479,0.8838,0.9776,0.9688,0.0,0.0147
Llama 3.3 70b,HS-PS3,conceptual,90,0.8556,0.7684,0.9136,0.9167,0.0,0.0314
Llama 3.3 70b,HS-PS3,recall,93,0.9785,0.9249,0.9941,,0.0,0.0152
Llama 3.3 70b,HS-PS4,applied,102,0.9804,0.9313,0.9946,0.9804,0.0,0.0139
Llama 3.3 70b,HS-PS4,conceptual,96,0.9479,0.8838,0.9776,0.9688,0.0,0.0147
Llama 3.3 70b,HS-PS4,recall,96,0.9792,0.9272,0.9943,,0.0,0.0147
Mistral Small 3.1,HS-ESS1,applied,96,0.8229,0.7346,0.8864,0.8594,0.0,0.0531
Mistral Small 3.1,HS-ESS1,conceptual,96,0.8646,0.782,0.9191,0.9167,0.0,0.039
Mistral Small 3.1,HS-ESS1,recall,93,0.9247,0.8527,0.9631,,0.0,0.0402
Mistral Small 3.1,HS-ESS2,applied,96,0.9062,0.8313,0.9499,0.9427,0.0,0.0255
Mistral Small 3.1,HS-ESS2,conceptual,99,0.7778,0.6864,0.8484,0.8788,0.0,0.0623
